id,label,category,unit,value_or_distribution,minimum,maximum,provenance_tag,uncertainty,sensitivity_priority,version_introduced,notes
state.grain.national.initial,Initial national grain inventory,initial-state,kt,28,0,,fictional-assumed,Not probabilistic,high,0.1.0,Includes central and regional holdings
state.grain.central.initial,Initial central grain inventory,initial-state,kt,14,0,,fictional-assumed,Not probabilistic,high,0.1.0,Port-side stock available for regional distribution
state.grain.capital.initial,Initial Capital Region grain inventory,initial-state,kt,7,0,,fictional-assumed,Reported value may differ from truth,high,0.1.0,Part of national total
state.grain.north.initial,Initial Northern Industrial Belt grain inventory,initial-state,kt,4,0,,fictional-assumed,Reported value may differ from truth,high,0.1.0,Part of national total
state.grain.interior.initial,Initial Interior Agricultural Region grain inventory,initial-state,kt,3,0,,fictional-assumed,Reported value may differ from truth,high,0.1.0,Part of national total
flow.grain.domestic,Weekly domestic grain output,flow,kt/week,3,0,,fictional-assumed,Seeded revision multiplier may apply,high,0.1.0,Reported with a lag
demand.grain.capital,Capital Region gross weekly grain demand,demand,kt/week,3,0,,fictional-assumed,Modified by active ration policy,high,0.1.0,
demand.grain.north,Northern Industrial Belt gross weekly grain demand,demand,kt/week,2.5,0,,fictional-assumed,Modified by active ration policy,high,0.1.0,
demand.grain.interior,Interior Agricultural Region gross weekly grain demand,demand,kt/week,1.5,0,,fictional-assumed,Modified by active ration policy,high,0.1.0,
state.diesel.initial,Initial national diesel inventory,initial-state,kt,10,0,,fictional-assumed,Not probabilistic,high,0.1.0,
state.copperAtPort.initial,Initial export-ready copper at port,initial-state,kt,4,0,,fictional-assumed,Not probabilistic,medium,0.1.0,
flow.diesel.domestic,Weekly domestic diesel supply,flow,kt/week,1,0,,fictional-assumed,Fixed in this vertical slice,medium,0.1.0,
demand.diesel.essential,Protected weekly essential-service diesel requirement,demand,kt/week,1.25,0,,design-tuned,Not probabilistic,high,0.1.0,
capacity.port.damaged,Damaged weekly port throughput,capacity,kt/week,12,0,20,fictional-assumed,Can fall to zero during closure,high,0.1.0,
capacity.port.precyclone,Pre-cyclone weekly port throughput,capacity,kt/week,20,12,,fictional-assumed,Reference ceiling,medium,0.1.0,
capacity.rail,Weekly rail freight capacity,capacity,kt/week,10,0,,fictional-assumed,Shared by grain and copper,high,0.1.0,
capacity.truck,Weekly emergency truck substitution capacity,capacity,kt/week,3,0,,fictional-assumed,Diesel intensive,medium,0.1.0,
capacity.implementation,Implementation teams available,capacity,team-slots,6,0,,fictional-assumed,Shared across concurrent actions,high,0.1.0,
capacity.port.repairThresholdOne,First restored port-throughput threshold,repair,percent,40,0,100,design-tuned,Unlocks 16 kt per week,high,0.1.0,
capacity.port.repairThresholdTwo,Second restored port-throughput threshold,repair,percent,80,0,100,design-tuned,Unlocks 20 kt per week,high,0.1.0,
finance.fx.initial,Initial foreign-exchange reserves,finance,USD million,30,0,,fictional-assumed,Stored as integer cents at runtime,high,0.1.0,
finance.fx.floor,Emergency foreign-exchange floor,finance,USD million,10,0,,design-tuned,Hard guardrail,high,0.1.0,
finance.credit.limit,Emergency credit limit,finance,USD million,12,0,,fictional-assumed,Principal ceiling,medium,0.1.0,
finance.credit.weeklyInterest,Emergency credit weekly interest rate,finance,fraction/week,0.004,0,1,design-tuned,Not stochastic,medium,0.1.0,Equivalent to 0.4 percent per week
finance.copper.receipt,Copper export receipt,finance,USD million/kt,0.65,0,,fictional-assumed,Fixed administered contract price,high,0.1.0,
finance.earlyPayment.advance,Copper early-payment advance,finance,USD million,2.6,0,,fictional-assumed,Offered on a seeded schedule,medium,0.1.0,
finance.earlyPayment.cargo,Copper owed after accepting early payment,finance,kt,5,0,,fictional-assumed,Later delivery obligation,medium,0.1.0,
finance.earlyPayment.penalty,Penalty for unmet early-payment obligation,finance,USD million,0.8,0,,fictional-assumed,Settled at the due turn,medium,0.1.0,
import.grain.near.cost,Near-premium grain import cost,imports,USD million/kt,0.62,0,,fictional-assumed,Fixed in version 0.1.0,high,0.1.0,
import.grain.standard.cost,Standard grain import cost,imports,USD million/kt,0.50,0,,fictional-assumed,Fixed in version 0.1.0,high,0.1.0,
import.grain.distant.cost,Distant-discount grain import cost,imports,USD million/kt,0.41,0,,fictional-assumed,Fixed in version 0.1.0,high,0.1.0,
import.diesel.near.cost,Near-premium diesel import cost,imports,USD million/kt,0.92,0,,fictional-assumed,Fixed in version 0.1.0,high,0.1.0,
import.diesel.standard.cost,Standard diesel import cost,imports,USD million/kt,0.76,0,,fictional-assumed,Fixed in version 0.1.0,high,0.1.0,
import.diesel.distant.cost,Distant-discount diesel import cost,imports,USD million/kt,0.65,0,,fictional-assumed,Fixed in version 0.1.0,high,0.1.0,
import.near.lead,Near-premium import lead time,imports,weeks,2,2,2,fictional-assumed,Deterministic,high,0.1.0,
import.standard.lead,Standard import lead time,imports,weeks,3,3,3,fictional-assumed,Deterministic,high,0.1.0,
import.distant.lead,Distant-discount import lead time,imports,weeks,discrete uniform integer,4,5,seeded-design-variant,Realised arrival is hidden while sailing; the player sees a 4–5 week window,high,0.1.0,
ration.moderate.demand,Moderate-ration demand multiplier,ration,fraction,0.9,0,1,design-tuned,Not probabilistic,medium,0.1.0,
ration.severe.demand,Severe-ration demand multiplier,ration,fraction,0.78,0,1,design-tuned,Not probabilistic,medium,0.1.0,
ration.moderate.hardship,Moderate-ration weekly hardship,ration,points,0.5,0,,design-tuned,Ordinal scenario measure,medium,0.1.0,
ration.severe.hardship,Severe-ration weekly hardship,ration,points,1.5,0,,design-tuned,Ordinal scenario measure,medium,0.1.0,
diesel.truck.intensity,Diesel per trucked grain,diesel-use,kt/kt grain,0.28,0,,design-tuned,Not empirically calibrated,high,0.1.0,
diesel.railGrain.intensity,Diesel per rail-delivered grain,diesel-use,kt/kt grain,0.03,0,,design-tuned,Not empirically calibrated,medium,0.1.0,
diesel.copper.intensity,Diesel per copper output,diesel-use,kt/kt copper,0.16,0,,design-tuned,Not empirically calibrated,high,0.1.0,
repair.normal.progress,Normal repair nominal weekly progress,repair,percentage-points/week,7,0,100,design-tuned,Multiplied by seeded efficiency,medium,0.1.0,
repair.normal.cost,Normal repair weekly FX cost,repair,USD million/week,0.4,0,,fictional-assumed,Not probabilistic,medium,0.1.0,
repair.normal.teams,Normal repair team claim,repair,team-slots,1,0,6,design-tuned,Not probabilistic,medium,0.1.0,
repair.normal.equipment,Normal repair weekly equipment requirement,repair,kt/week,0.6,0,,design-tuned,Insufficient unloading reduces progress,medium,0.1.0,
repair.normal.diesel,Normal repair weekly diesel requirement,repair,kt/week,0.08,0,,design-tuned,Insufficient diesel reduces progress,medium,0.1.0,
repair.accelerated.progress,Accelerated repair nominal weekly progress,repair,percentage-points/week,12,0,100,design-tuned,Multiplied by seeded efficiency,high,0.1.0,
repair.accelerated.cost,Accelerated repair weekly FX cost,repair,USD million/week,0.85,0,,fictional-assumed,Not probabilistic,medium,0.1.0,
repair.accelerated.teams,Accelerated repair team claim,repair,team-slots,2,0,6,design-tuned,Not probabilistic,medium,0.1.0,
repair.accelerated.equipment,Accelerated repair weekly equipment requirement,repair,kt/week,1.1,0,,design-tuned,Insufficient unloading reduces progress,medium,0.1.0,
repair.accelerated.diesel,Accelerated repair weekly diesel requirement,repair,kt/week,0.18,0,,design-tuned,Insufficient diesel reduces progress,medium,0.1.0,
repair.emergency.progress,Emergency repair nominal weekly progress,repair,percentage-points/week,17,0,100,design-tuned,Multiplied by seeded efficiency,high,0.1.0,
repair.emergency.cost,Emergency repair weekly FX cost,repair,USD million/week,1.45,0,,fictional-assumed,Not probabilistic,medium,0.1.0,
repair.emergency.teams,Emergency repair team claim,repair,team-slots,3,0,6,design-tuned,Not probabilistic,medium,0.1.0,
repair.emergency.equipment,Emergency repair weekly equipment requirement,repair,kt/week,1.8,0,,design-tuned,Insufficient unloading reduces progress,medium,0.1.0,
repair.emergency.diesel,Emergency repair weekly diesel requirement,repair,kt/week,0.32,0,,design-tuned,Insufficient diesel reduces progress,medium,0.1.0,
variant.closure.turn,Port closure turn index,scenario-variant,turn,"guided: 8; seeded: integer 7 to 9",7,9,seeded-design-variant,Declared seeded range,high,0.1.0,
variant.crop.turn,Crop revision turn index,scenario-variant,turn,"guided: 7; seeded: integer 5 to 7",5,7,seeded-design-variant,Declared seeded range,medium,0.1.0,
variant.crop.multiplier,Crop revision multiplier,scenario-variant,fraction,"guided: 0.92; seeded options: 0.82|0.92|1.08|1.16",0.82,1.16,seeded-design-variant,Discrete declared set,high,0.1.0,
